Model already exists: ../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 3 | Loss:  33.2651 | w0: 0.6271 | w1: 0.3729 | r0: 0.1815 | r1: 0.1063 | st0: 0.9226 | st1: 0.9299 | sd0: 1.0055 | sd1: 0.9963 | lr : 0.19952188 
Step: 0 | Loss:   9.5969 | w0: 0.9402 | w1: 0.0598 | r0: 0.1709 | r1: 0.6021 | st0: 0.9913 | st1: 0.9728 | sd0: 1.0038 | sd1: 1.0128 | lr : 0.19947291 
Step: 1 | Loss:   2.7066 | w0: 0.9185 | w1: 0.0815 | r0: 0.2365 | r1: 0.3222 | st0: 0.9559 | st1: 0.9996 | sd0: 1.0014 | sd1: 1.0150 | lr : 0.19947291 
Step: 2 | Loss:   1.6232 | w0: 0.0090 | w1: 0.9910 | r0: 0.2785 | r1: 0.1290 | st0: 1.0321 | st1: 1.0570 | sd0: 1.0072 | sd1: 1.0026 | lr : 0.19947291 
Step: 3 | Loss:  59.1950 | w0: 0.5791 | w1: 0.4209 | r0: 0.1467 | r1: 0.1001 | st0: 0.9203 | st1: 0.9223 | sd0: 1.0085 | sd1: 0.9979 | lr : 0.19947291 
Step: 0 | Loss:  10.2010 | w0: 0.9368 | w1: 0.0632 | r0: 0.1743 | r1: 0.6128 | st0: 0.9890 | st1: 0.9710 | sd0: 1.0039 | sd1: 1.0129 | lr : 0.19942157 
Step: 1 | Loss:   3.1422 | w0: 0.9139 | w1: 0.0861 | r0: 0.2386 | r1: 0.3256 | st0: 0.9583 | st1: 0.9991 | sd0: 1.0030 | sd1: 1.0152 | lr : 0.19942157 
Step: 2 | Loss:   1.4091 | w0: 0.0105 | w1: 0.9895 | r0: 0.2841 | r1: 0.1479 | st0: 1.0290 | st1: 1.0524 | sd0: 1.0075 | sd1: 1.0045 | lr : 0.19942157 
Step: 3 | Loss:  75.8179 | w0: 0.6083 | w1: 0.3917 | r0: 0.1464 | r1: 0.1008 | st0: 0.9125 | st1: 0.9107 | sd0: 1.0104 | sd1: 0.9989 | lr : 0.19942157 
Step: 0 | Loss:   5.2023 | w0: 0.9301 | w1: 0.0699 | r0: 0.1935 | r1: 0.6477 | st0: 0.9818 | st1: 0.9664 | sd0: 1.0024 | sd1: 1.0121 | lr : 0.19936785 
