Model already exists: ../EPD/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../EPD/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
/home/perry/miniconda3/envs/edm/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
Constructing predictor...
Setting up optimizer...
Training for 10 kimg...

/home/perry/ziyul6/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/home/perry/ziyul6/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 2 | Loss: 118.0161 | w0: 0.5109 | w1: 0.4891 | sig0: 0.0465 | sig1: 0.0460 | lr : 0.00500000 
Step: 0 | Loss:   4.7028 | w0: 0.5122 | w1: 0.4878 | sig0: 0.0467 | sig1: 0.0460 | lr : 0.00500000 
Step: 1 | Loss:   5.4415 | w0: 0.4908 | w1: 0.5092 | sig0: 0.0483 | sig1: 0.0492 | lr : 0.00500000 
Step: 2 | Loss: 110.2103 | w0: 0.5110 | w1: 0.4890 | sig0: 0.0462 | sig1: 0.0458 | lr : 0.00500000 
Step: 0 | Loss:   5.0320 | w0: 0.5131 | w1: 0.4869 | sig0: 0.0465 | sig1: 0.0458 | lr : 0.00500000 
Step: 1 | Loss:   4.3409 | w0: 0.4915 | w1: 0.5085 | sig0: 0.0483 | sig1: 0.0492 | lr : 0.00500000 
Step: 2 | Loss: 111.2543 | w0: 0.5120 | w1: 0.4880 | sig0: 0.0459 | sig1: 0.0455 | lr : 0.00500000 
Step: 0 | Loss:   3.5339 | w0: 0.5146 | w1: 0.4854 | sig0: 0.0465 | sig1: 0.0456 | lr : 0.00500000 
Step: 1 | Loss:   4.5776 | w0: 0.4907 | w1: 0.5093 | sig0: 0.0482 | sig1: 0.0491 | lr : 0.00500000 
Step: 2 | Loss: 110.6351 | w0: 0.5141 | w1: 0.4859 | sig0: 0.0457 | sig1: 0.0453 | lr : 0.00500000 
Step: 0 | Loss:   4.3658 | w0: 0.5157 | w1: 0.4843 | sig0: 0.0464 | sig1: 0.0454 | lr : 0.00500000 
Step: 1 | Loss:   4.0061 | w0: 0.4888 | w1: 0.5112 | sig0: 0.0480 | sig1: 0.0492 | lr : 0.00500000 
Step: 2 | Loss: 107.7313 | w0: 0.5157 | w1: 0.4843 | sig0: 0.0454 | sig1: 0.0450 | lr : 0.00500000 
Step: 0 | Loss:   3.6942 | w0: 0.5164 | w1: 0.4836 | sig0: 0.0462 | sig1: 0.0453 | lr : 0.00500000 
Step: 1 | Loss:   4.8082 | w0: 0.4869 | w1: 0.5131 | sig0: 0.0479 | sig1: 0.0492 | lr : 0.00500000 
Step: 2 | Loss: 101.2488 | w0: 0.5143 | w1: 0.4857 | sig0: 0.0452 | sig1: 0.0448 | lr : 0.00500000 
Step: 0 | Loss:   3.4293 | w0: 0.5180 | w1: 0.4820 | sig0: 0.0461 | sig1: 0.0451 | lr : 0.00500000 
Step: 1 | Loss:   4.6719 | w0: 0.4825 | w1: 0.5175 | sig0: 0.0477 | sig1: 0.0493 | lr : 0.00500000 
Step: 2 | Loss: 115.4697 | w0: 0.5124 | w1: 0.4876 | sig0: 0.0449 | sig1: 0.0446 | lr : 0.00500000 
Step: 0 | Loss:   4.9083 | w0: 0.5212 | w1: 0.4788 | sig0: 0.0458 | sig1: 0.0448 | lr : 0.00500000 
Step: 1 | Loss:   6.5721 | w0: 0.4781 | w1: 0.5219 | sig0: 0.0474 | sig1: 0.0493 | lr : 0.00500000 
Step: 2 | Loss: 118.3327 | w0: 0.5098 | w1: 0.4902 | sig0: 0.0445 | sig1: 0.0444 | lr : 0.00500000 
Step: 0 | Loss:   5.0655 | w0: 0.5237 | w1: 0.4763 | sig0: 0.0457 | sig1: 0.0446 | lr : 0.00500000 
Step: 1 | Loss:   5.3099 | w0: 0.4754 | w1: 0.5246 | sig0: 0.0473 | sig1: 0.0493 | lr : 0.00500000 
Step: 2 | Loss: 128.5648 | w0: 0.5071 | w1: 0.4929 | sig0: 0.0443 | sig1: 0.0442 | lr : 0.00500000 
Step: 0 | Loss:   3.4903 | w0: 0.5256 | w1: 0.4744 | sig0: 0.0456 | sig1: 0.0444 | lr : 0.00500000 
Step: 1 | Loss:   4.3373 | w0: 0.4729 | w1: 0.5271 | sig0: 0.0471 | sig1: 0.0493 | lr : 0.00500000 
