Model already exists: ../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../epd-solver/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
/root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: /root/autodl-tmp/conda_envs/epd/lib/python3.9/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev
  warn(f"Failed to load image Python extension: {e}")
Using Cosince Annealing Learning Rate
Training for 10 kimg...

Step: 2 | Loss:   0.5972 | w0: 0.1319 | w1: 0.8681 | r0: 0.3261 | r1: 0.5196 | st0: 1.0177 | st1: 1.0202 | sd0: 0.9943 | sd1: 0.9899 | lr : 0.19906363 
Step: 3 | Loss:  32.7293 | w0: 0.2102 | w1: 0.7898 | r0: 0.1166 | r1: 0.1260 | st0: 0.9887 | st1: 0.9851 | sd0: 1.0050 | sd1: 0.9935 | lr : 0.19906363 
Step: 0 | Loss:   0.8482 | w0: 0.9302 | w1: 0.0698 | r0: 0.2328 | r1: 0.6457 | st0: 0.9947 | st1: 0.9822 | sd0: 0.9999 | sd1: 1.0147 | lr : 0.19892535 
Step: 1 | Loss:   1.4494 | w0: 0.7332 | w1: 0.2668 | r0: 0.2995 | r1: 0.8523 | st0: 0.9893 | st1: 0.9818 | sd0: 0.9793 | sd1: 1.0035 | lr : 0.19892535 
Step: 2 | Loss:   1.5758 | w0: 0.1597 | w1: 0.8403 | r0: 0.3043 | r1: 0.4954 | st0: 1.0182 | st1: 1.0209 | sd0: 0.9942 | sd1: 0.9898 | lr : 0.19892535 
Step: 3 | Loss:  44.3854 | w0: 0.2173 | w1: 0.7827 | r0: 0.1187 | r1: 0.1341 | st0: 0.9879 | st1: 0.9839 | sd0: 1.0053 | sd1: 0.9943 | lr : 0.19892535 
Step: 0 | Loss:   0.9662 | w0: 0.9283 | w1: 0.0717 | r0: 0.2306 | r1: 0.6525 | st0: 0.9940 | st1: 0.9813 | sd0: 1.0001 | sd1: 1.0147 | lr : 0.19877761 
Step: 1 | Loss:   1.2387 | w0: 0.7314 | w1: 0.2686 | r0: 0.2976 | r1: 0.8540 | st0: 0.9894 | st1: 0.9817 | sd0: 0.9796 | sd1: 1.0037 | lr : 0.19877761 
Step: 2 | Loss:   0.5461 | w0: 0.2010 | w1: 0.7990 | r0: 0.2772 | r1: 0.4642 | st0: 1.0189 | st1: 1.0217 | sd0: 0.9941 | sd1: 0.9897 | lr : 0.19877761 
Step: 3 | Loss:  16.0321 | w0: 0.2225 | w1: 0.7775 | r0: 0.1214 | r1: 0.1439 | st0: 0.9871 | st1: 0.9827 | sd0: 1.0055 | sd1: 0.9951 | lr : 0.19877761 
Step: 0 | Loss:   1.6341 | w0: 0.9242 | w1: 0.0758 | r0: 0.2279 | r1: 0.6617 | st0: 0.9933 | st1: 0.9802 | sd0: 1.0004 | sd1: 1.0149 | lr : 0.19862041 
Step: 1 | Loss:   1.0455 | w0: 0.7227 | w1: 0.2773 | r0: 0.2973 | r1: 0.8548 | st0: 0.9896 | st1: 0.9819 | sd0: 0.9802 | sd1: 1.0042 | lr : 0.19862041 
Step: 2 | Loss:   0.4478 | w0: 0.2555 | w1: 0.7445 | r0: 0.2522 | r1: 0.4288 | st0: 1.0199 | st1: 1.0227 | sd0: 0.9942 | sd1: 0.9896 | lr : 0.19862041 
Step: 3 | Loss:  13.1671 | w0: 0.2298 | w1: 0.7702 | r0: 0.1239 | r1: 0.1541 | st0: 0.9863 | st1: 0.9815 | sd0: 1.0059 | sd1: 0.9961 | lr : 0.19862041 
Step: 0 | Loss:   2.8163 | w0: 0.9156 | w1: 0.0844 | r0: 0.2279 | r1: 0.6747 | st0: 0.9924 | st1: 0.9791 | sd0: 1.0010 | sd1: 1.0153 | lr : 0.19845379 
Step: 1 | Loss:   0.7151 | w0: 0.7043 | w1: 0.2957 | r0: 0.2990 | r1: 0.8555 | st0: 0.9898 | st1: 0.9821 | sd0: 0.9809 | sd1: 1.0050 | lr : 0.19845379 
