Model already exists: ../epd-solver/src/lsun_bedroom_ldm/model.ckpt
The vq-f4 model already exists: ../epd-solver/models/ldm_models/first_stage_models/vq-f4/model.ckpt
Loading the pre-trained diffusion model from "../epd-solver/src/lsun_bedroom_ldm/model.ckpt"...
Global Step: 1900000
LatentDiffusion: Running in eps-prediction mode
DiffusionWrapper has 274.06 M params.
Keeping EMAs of 370.
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 3, 64, 64) = 12288 dimensions.
making attention of type 'vanilla' with 512 in_channels
Restored from models/ldm_models/first_stage_models/vq-f4/model.ckpt with 0 missing and 55 unexpected keys
Training LatentDiffusion as an unconditional model.
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/root/autodl-tmp/epd-solver/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/root/autodl-tmp/epd-solver/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 1 | Loss:   8.3120 | w0: 0.4056 | w1: 0.5944 | r0: 0.2984 | r1: 0.5265 | sd0: 0.9941 | sd1: 1.0081 | lr : 0.19975679 
Step: 2 | Loss:  18.6269 | w0: 0.3414 | w1: 0.6586 | r0: 0.2428 | r1: 0.4723 | sd0: 0.9968 | sd1: 1.0030 | lr : 0.19975679 
Step: 3 | Loss:  67.9776 | w0: 0.9453 | w1: 0.0547 | r0: 0.1281 | r1: 0.2790 | sd0: 1.0057 | sd1: 1.0202 | lr : 0.19975679 
Step: 0 | Loss:   8.4819 | w0: 0.0006 | w1: 0.9994 | r0: 0.2898 | r1: 0.0388 | sd0: 0.9882 | sd1: 1.0027 | lr : 0.19973053 
Step: 1 | Loss:   2.5399 | w0: 0.4415 | w1: 0.5585 | r0: 0.2936 | r1: 0.4316 | sd0: 0.9946 | sd1: 1.0088 | lr : 0.19973053 
Step: 2 | Loss:   8.8306 | w0: 0.3025 | w1: 0.6975 | r0: 0.2366 | r1: 0.5293 | sd0: 0.9958 | sd1: 1.0016 | lr : 0.19973053 
Step: 3 | Loss:  92.9062 | w0: 0.9392 | w1: 0.0608 | r0: 0.1483 | r1: 0.2904 | sd0: 1.0037 | sd1: 1.0196 | lr : 0.19973053 
Step: 0 | Loss:   3.4497 | w0: 0.0006 | w1: 0.9994 | r0: 0.2874 | r1: 0.0380 | sd0: 0.9882 | sd1: 1.0002 | lr : 0.19970292 
Step: 1 | Loss:   1.2617 | w0: 0.5301 | w1: 0.4699 | r0: 0.3063 | r1: 0.3927 | sd0: 0.9918 | sd1: 1.0064 | lr : 0.19970292 
Step: 2 | Loss:   8.6417 | w0: 0.2634 | w1: 0.7366 | r0: 0.2365 | r1: 0.6118 | sd0: 0.9938 | sd1: 0.9987 | lr : 0.19970292 
Step: 3 | Loss:  48.7651 | w0: 0.9316 | w1: 0.0684 | r0: 0.1670 | r1: 0.3063 | sd0: 1.0010 | sd1: 1.0185 | lr : 0.19970292 
Step: 0 | Loss:  13.3610 | w0: 0.0006 | w1: 0.9994 | r0: 0.2858 | r1: 0.0370 | sd0: 0.9882 | sd1: 0.9966 | lr : 0.19967397 
Step: 1 | Loss:   3.5287 | w0: 0.6130 | w1: 0.3870 | r0: 0.3407 | r1: 0.4001 | sd0: 0.9887 | sd1: 1.0035 | lr : 0.19967397 
Step: 2 | Loss:  12.2577 | w0: 0.2473 | w1: 0.7527 | r0: 0.2348 | r1: 0.6681 | sd0: 0.9921 | sd1: 0.9958 | lr : 0.19967397 
Step: 3 | Loss:  70.9115 | w0: 0.9241 | w1: 0.0759 | r0: 0.1776 | r1: 0.3194 | sd0: 0.9981 | sd1: 1.0173 | lr : 0.19967397 
Step: 0 | Loss:  20.7985 | w0: 0.0006 | w1: 0.9994 | r0: 0.2848 | r1: 0.0363 | sd0: 0.9882 | sd1: 0.9958 | lr : 0.19964368 
Step: 1 | Loss:   4.6271 | w0: 0.6029 | w1: 0.3971 | r0: 0.3840 | r1: 0.4223 | sd0: 0.9893 | sd1: 1.0030 | lr : 0.19964368 
Step: 2 | Loss:  13.4316 | w0: 0.2905 | w1: 0.7095 | r0: 0.2401 | r1: 0.7483 | sd0: 0.9919 | sd1: 0.9962 | lr : 0.19964368 
Step: 3 | Loss:  55.7316 | w0: 0.9246 | w1: 0.0754 | r0: 0.1587 | r1: 0.3186 | sd0: 0.9985 | sd1: 1.0178 | lr : 0.19964368 
Step: 0 | Loss:   4.9630 | w0: 0.0006 | w1: 0.9994 | r0: 0.2841 | r1: 0.0362 | sd0: 0.9882 | sd1: 0.9989 | lr : 0.19961204 
Step: 1 | Loss:   1.2803 | w0: 0.5050 | w1: 0.4950 | r0: 0.3935 | r1: 0.4310 | sd0: 0.9939 | sd1: 1.0050 | lr : 0.19961204 
Step: 2 | Loss:   4.2385 | w0: 0.5163 | w1: 0.4837 | r0: 0.2289 | r1: 0.7462 | sd0: 0.9936 | sd1: 0.9995 | lr : 0.19961204 
Step: 3 | Loss:  64.3949 | w0: 0.9349 | w1: 0.0651 | r0: 0.1319 | r1: 0.3063 | sd0: 1.0012 | sd1: 1.0197 | lr : 0.19961204 
Step: 0 | Loss:   8.7517 | w0: 0.0006 | w1: 0.9994 | r0: 0.2835 | r1: 0.0374 | sd0: 0.9882 | sd1: 1.0021 | lr : 0.19957906 
Step: 1 | Loss:   1.7041 | w0: 0.4326 | w1: 0.5674 | r0: 0.4123 | r1: 0.4626 | sd0: 0.9971 | sd1: 1.0061 | lr : 0.19957906 
Step: 2 | Loss:   3.7966 | w0: 0.7733 | w1: 0.2267 | r0: 0.2564 | r1: 0.7091 | sd0: 0.9950 | sd1: 1.0021 | lr : 0.19957906 
Step: 3 | Loss:  38.8530 | w0: 0.9380 | w1: 0.0620 | r0: 0.1247 | r1: 0.3034 | sd0: 1.0029 | sd1: 1.0208 | lr : 0.19957906 
Step: 0 | Loss:   9.6284 | w0: 0.0006 | w1: 0.9994 | r0: 0.2830 | r1: 0.0394 | sd0: 0.9882 | sd1: 1.0019 | lr : 0.19954474 
Step: 1 | Loss:   1.5039 | w0: 0.4101 | w1: 0.5899 | r0: 0.4804 | r1: 0.5444 | sd0: 0.9977 | sd1: 1.0055 | lr : 0.19954474 
Step: 2 | Loss:   5.1322 | w0: 0.8429 | w1: 0.1571 | r0: 0.3088 | r1: 0.6875 | sd0: 0.9940 | sd1: 1.0035 | lr : 0.19954474 
Step: 3 | Loss:  96.1154 | w0: 0.9329 | w1: 0.0671 | r0: 0.1432 | r1: 0.3047 | sd0: 1.0020 | sd1: 1.0208 | lr : 0.19954474 
Step: 0 | Loss:   4.9914 | w0: 0.0006 | w1: 0.9994 | r0: 0.2826 | r1: 0.0404 | sd0: 0.9882 | sd1: 0.9994 | lr : 0.19950908 
Step: 1 | Loss:   3.4998 | w0: 0.4355 | w1: 0.5645 | r0: 0.5905 | r1: 0.6711 | sd0: 0.9952 | sd1: 1.0019 | lr : 0.19950908 
Step: 2 | Loss:  10.7578 | w0: 0.8353 | w1: 0.1647 | r0: 0.3954 | r1: 0.6769 | sd0: 0.9893 | sd1: 1.0037 | lr : 0.19950908 
Step: 3 | Loss:  63.6607 | w0: 0.9180 | w1: 0.0820 | r0: 0.2025 | r1: 0.3135 | sd0: 0.9989 | sd1: 1.0195 | lr : 0.19950908 
Step: 0 | Loss:  28.5322 | w0: 0.0006 | w1: 0.9994 | r0: 0.2823 | r1: 0.0402 | sd0: 0.9882 | sd1: 0.9951 | lr : 0.19947207 
Step: 1 | Loss:  12.0951 | w0: 0.4794 | w1: 0.5206 | r0: 0.6579 | r1: 0.7607 | sd0: 0.9924 | sd1: 0.9982 | lr : 0.19947207 
Step: 2 | Loss:  22.8959 | w0: 0.8114 | w1: 0.1886 | r0: 0.4428 | r1: 0.6735 | sd0: 0.9869 | sd1: 1.0040 | lr : 0.19947207 
Step: 3 | Loss:  58.8144 | w0: 0.9108 | w1: 0.0892 | r0: 0.2324 | r1: 0.3078 | sd0: 0.9979 | sd1: 1.0194 | lr : 0.19947207 
Step: 0 | Loss:  33.1921 | w0: 0.0006 | w1: 0.9994 | r0: 0.2820 | r1: 0.0418 | sd0: 0.9882 | sd1: 0.9946 | lr : 0.19943373 
Step: 1 | Loss:  15.4922 | w0: 0.4962 | w1: 0.5038 | r0: 0.6667 | r1: 0.8007 | sd0: 0.9923 | sd1: 0.9973 | lr : 0.19943373 
Step: 2 | Loss:  20.5653 | w0: 0.7973 | w1: 0.2027 | r0: 0.4157 | r1: 0.6727 | sd0: 0.9883 | sd1: 1.0048 | lr : 0.19943373 
Step: 3 | Loss:  64.1427 | w0: 0.9106 | w1: 0.0894 | r0: 0.2319 | r1: 0.2917 | sd0: 0.9996 | sd1: 1.0212 | lr : 0.19943373 
